cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
-%,"4,54%","-339,73","6,14",-,-,"-876,75","15,85","0,68","1,20","-8,39","19,15%","-0,12%","6,79%","49,98","R$ 49,98","18,93","R$ 40,56","-11,43%","-0,77","6,87","-554,23","10,02","1,04","0,46","-0,04","-5,95","-0,04","0,68","-10,31","-7,77%","-173,07%","-7,20%","R$ 0,0000",BRKM5,PNA,"49,98","139,25%","3,01%","23,22%","-4,85"
-%,"4,54%","-339,73","6,14",-,-,"-876,75","15,85","0,68","1,20","-8,39","19,15%","-0,12%","6,79%","47,24","R$ 47,24","19,81","R$ 39,50","-11,43%","-0,73","6,49","-523,85","9,47","1,04","0,44","-0,04","-5,63","-0,04","0,64","-9,74","-7,77%","-173,07%","-7,20%","R$ 0,0000",BRKM3,ON,"47,24","117,50%","3,12%","19,59%","-4,85"
"-2,44%","-14,49%",-,-,-,"0,05","8,38",-,"0,04","99,82","0,85","12,85%","13,75%",-%,"16,00","R$ 11,00","6,70","R$ 9,76","10,14%","-0,06","0,39","8,89",-,"0,91","0,05","1,37","12,06","0,09","1,22","0,58","0,46%","4,81%",-%,"R$ 0,0050",BRIV3,ON,"10,20","44,68%","4,08%","-0,10%","17,61"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-2,44%","-14,49%",-,-,-,"6,65","8,38",-,"0,04","99,82","0,85","12,85%","13,75%",-%,"11,05","R$ 8,70","6,29","R$ 8,46","10,14%","-0,05","0,33","7,59",-,"0,91","0,05","1,17","10,28","0,09","1,04","0,49","0,46%","4,81%",-%,"R$ 0,5786",BRIV4,PN,"8,70","20,67%","2,35%","0,58%","17,61"
"-7,25%","-1,53%","-33,83","-32,87","-0,87","3,56","-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","13,02","R$ 8,50","4,94","R$ 8,50","160,27%","-0,52","0,48","13,48","13,10","0,40","0,21","-0,84","15,23","0,60","24,41","0,35","1,35%","2,27%","1,68%","R$ 0,3030",BRGE8,PN,"8,50","72,06%","0,00%","0,00%","24,56"
"-7,25%","-1,53%","-33,83","-32,87","-0,87",-,"-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","15,93","R$ 9,28","5,50","R$ 9,17","160,27%","-0,56","0,52","14,59","14,17","0,40","0,22","-0,91","16,49","0,60","26,42","0,37","1,35%","2,27%","1,68%","R$ 0,0000",BRGE3,ON,"9,20","67,27%","0,22%","-0,86%","24,56"
"-7,25%","-1,53%","-33,83","-32,87","-0,87",-,"-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","8,10","R$ 6,20","4,20","R$ 6,10","160,27%","-0,38","0,35","9,75","9,48","0,40","0,15","-0,61","11,02","0,60","17,66","0,25","1,35%","2,27%","1,68%","R$ 0,0000",BRGE12,,"6,15","26,80%","-0,81%","-0,65%","24,56"
"-14,99%","4,16%","5,10","3,33","1,65",-,"11,83","7,72","0,79","1,48","1,70","24,00%","7,21%","11,06%","25,62","R$ 24,73","16,78","R$ 23,59","3,51%","-0,72","2,57","6,73","4,39","0,82","0,39","0,04","13,85","0,18","0,49","2,17","2,79%","15,70%","8,34%","R$ 0,0000",BRFS3,ON,"23,59","24,68%","-2,92%","-3,91%","10,85"
"-7,25%","-1,53%","-33,83","-32,87","-0,87","3,87","-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","19,39","R$ 9,46","7,91","R$ 9,40","160,27%","-0,58","0,54","14,91","14,48","0,40","0,23","-0,93","16,84","0,60","27,00","0,38","1,35%","2,27%","1,68%","R$ 0,3636",BRGE11,,"9,40","18,84%","0,00%","-0,63%","24,56"
"41,61%","2,49%",-,-,-,"1,57","92,50","52,63","0,05","0,92","1,17","-7,36%","7,72%","13,57%","35,39","R$ 26,43","10,53","R$ 24,33","24,86%","-0,74","-5,14","70,41","40,05","0,89","0,28","-1,74","21,87","0,11","5,44","2,69","1,30%","12,29%",-%,"R$ 0,4040",BPAC5,PNA,"25,66","119,32%","1,91%","5,47%","9,54"
"190,50%","11,42%","2,15","1,61","0,37","0,33","9,65","7,22","0,60","1,21","1,12","25,31%","12,72%","16,99%","21,71","R$ 16,85","7,96","R$ 15,96","10,03%","-1,48","13,16","11,66","8,73","0,56","0,89","0,30","14,79","0,44","1,48","2,03","6,05%","13,75%","9,67%","R$ 0,0547",EALT3,ON,"16,59","108,42%","0,00%","3,95%","8,16"
"-20,41%","1,12%","-107,01",-,"-0,78","2,54","-28,55",-,"0,10","31,67","7,66","31,27%","6,38%",-%,"297,00","R$ 242,24","174,14","R$ 240,00","15,98%","-2,14","0,68","78,46",-,"0,12","0,50","1,06","31,34","0,88","5,01","0,57","1,61%","1,83%","-0,20%","R$ 6,0839",BMKS3,ON,"240,00","28,87%","-0,87%","-0,92%","418,81"
"-9,57%","-1,79%",-,-,-,"6,62","25,66",-,"0,05","1,21","0,51","81,20%","37,26%",-%,"25,39","R$ 21,42","14,23","R$ 21,15","21,89%","-0,68","10,54","24,43",-,"0,39","0,49","4,08","41,59","0,61","9,10","0,82","1,19%","1,96%",-%,"R$ 1,4000",BMIN4,PN,"21,15","47,59%","0,00%","0,00%","25,93"
-%,"-17,04%","-1,24","-1,26",-,-,"-2,09","-2,13","0,14","0,32","-1,70","-31,88%","-332,19%","-325,91%","1,97","R$ 1,17","0,90","R$ 1,12","-410,76%","-0,60","-0,51","-0,85","-0,86","1,70","0,38","0,04","-0,68","-0,70","2,81","-0,54","-55,89%","-79,54%","867,79%","R$ 0,0000",VIVR3,ON,"1,16","-6,45%","0,00%","0,00%","-2,13"
-%,"18,70%","-0,03","-0,06","0,01",-,"-7,47","-16,34","0,57","1,98","-1,62","59,16%","-17,30%","-7,91%","14,02","R$ 10,47","8,25","R$ 9,76","-19,91%","-1,02","5,20","-7,45","-16,28","0,53","0,73","0,01","-6,47","0,47","1,29","1,57","-11,33%","-24,24%","-15,04%","R$ 0,0000",BKBR3,ON,"10,47","11,62%","3,97%","6,95%","6,68"
-%,"1,10%","1,93","1,67",-,-,"4,12","3,58","1,71","0,58","0,15","37,35%","11,13%","12,82%","2,65","R$ 2,32","1,50","R$ 2,24","3,47%","-1,52","-2,89","4,65","4,04","1,36","0,88","-0,08","14,93","-0,36","0,52","-2,43","5,92%","-16,30%","500,50%","R$ 0,0000",BOBR4,PN,"2,29","41,36%","-1,29%","-1,29%","-0,94"
-%,"14,14%",-,-,-,"0,08","-549,52",-,"0,05","0,83","-0,01","57,47%","-9,54%",-%,"62,52","R$ 62,52","8,04","R$ 54,00","-0,77%","-4,54","-26,03","-538,05",-,"0,83","2,42","60,85","-6.640,69","0,17","51,34","14,47","-0,04%","-0,22%",-%,"R$ 0,0473",BIDI3,ON,"62,52","616,15%","0,35%","15,76%","4,32"
-%,"-7,67%","-8,93","-13,42","0,22",-,"-40,19","-60,41","0,05","4,01","-0,34","87,67%","-29,88%","-19,88%","11,77","R$ 10,20","7,82","R$ 9,71","-32,11%","-0,49","6,15","-31,26","-46,99","0,41","0,45","0,24","-29,09","0,59","9,34","0,76","-1,53%","-2,61%","-2,77%","R$ 0,0000",BRML3,ON,"9,79","-3,55%","0,10%","-2,49%","12,88"
-%,"14,14%",-,-,-,"0,07","-549,52",-,"0,05","0,83","-0,03","57,47%","-9,54%",-%,"191,56","R$ 191,56","25,04","R$ 160,62","-0,77%","-4,64","-26,58","-549,52",-,"0,83","2,47","62,15","-6.782,32","0,17","52,44","14,78","-0,04%","-0,22%",-%,"R$ 0,1419",BIDI11,,"191,56","594,81%","2,17%","18,12%","12,96"
"-9,57%","-1,79%",-,-,-,-,"25,66",-,"0,05","1,21","0,51","81,20%","37,26%",-%,"27,67","R$ 22,40","16,21","R$ 22,31","21,89%","-0,72","11,16","25,88",-,"0,39","0,52","4,32","44,04","0,61","9,64","0,86","1,19%","1,96%",-%,"R$ 0,0000",BMIN3,ON,"22,40","24,44%","0,40%","0,40%","25,93"
-%,"-46,07%","-4,04","-4,60",-,-,"-4,33","-4,93","0,03","0,52","-40,91","-86,74%","-295,31%","-259,07%","15,04","R$ 12,00","6,00","R$ 9,04","-321,27%","-0,04","-0,07","-0,26","-0,30","1,25","0,02","0,00","-0,24","-0,25","0,77","-0,10","-9,88%","-40,12%","-86,38%","R$ 0,0000",BDLL4,PN,"9,80","55,06%","-3,35%","8,41%","-101,97"
-%,"14,14%",-,-,-,"0,07","-549,52",-,"0,05","0,83","-0,01","57,47%","-9,54%",-%,"64,44","R$ 64,44","8,63","R$ 53,24","-0,77%","-4,68","-26,83","-554,57",-,"0,83","2,49","62,72","-6.844,63","0,17","52,92","14,92","-0,04%","-0,22%",-%,"R$ 0,0473",BIDI4,PN,"64,44","580,46%","3,01%","19,36%","4,32"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"9,57%","0,38","0,28","0,07","0,17","9,88","7,36","0,54","2,64","0,54","20,24%","18,20%","24,42%","22,69","R$ 22,69","4,62","R$ 17,46","4,18%","-1,57","3,87","9,71","7,24","0,44","0,95","0,20","42,26","0,56","1,77","1,69","2,25%","4,00%","10,41%","R$ 0,0395",USIM3,ON,"22,69","322,53%","1,11%","29,95%","13,44"
-%,"9,57%","0,38","0,28","0,07","0,20","9,88","7,36","0,54","2,64","0,54","20,24%","18,20%","24,42%","21,57","R$ 21,57","4,29","R$ 16,61","4,18%","-1,49","3,68","9,23","6,88","0,44","0,90","0,19","40,17","0,56","1,68","1,61","2,25%","4,00%","10,41%","R$ 0,0435",USIM5,PNA,"21,57","366,88%","2,71%","29,86%","13,44"
"34,24%","4,82%",-,-,-,"1,33","20,87","18,15","0,25","0,67","0,54","61,65%","9,35%","10,75%","15,53","R$ 15,53","4,51","R$ 10,80","6,84%","-0,82","-2,40","20,87","18,15","0,86","0,48","5,26","28,55","0,14","1,95","3,52","1,68%","12,33%",-%,"R$ 0,2069",BPAN4,PN,"15,53","177,82%","13,69%","43,80%","4,41"
"1,09%","-5,19%","1,85","1,56","1,75","6,11","4,71","3,97","0,20","0,94","0,43","94,37%","86,92%","103,11%","3,52","R$ 3,51","2,37","R$ 3,13","42,17%","-0,92","-43,41","4,01","3,38","0,82","0,70","0,05","8,26","0,18","3,48","3,80","8,45%","46,03%","19,40%","R$ 0,2146",TIET4,PN,"3,51","36,05%","1,15%","12,14%","0,92"
-%,-%,"-1,85","-1,43","-0,72",-,"29,83","23,04","0,31","0,74","0,45","57,95%","42,06%","54,45%","26,61","R$ 20,96","17,53","R$ 17,53","28,92%","-8,05","-24,03","31,68","24,47","0,66","4,17",-,"46,07","0,34","13,32","12,32","9,05%","26,75%","24,88%","R$ 0,0000",BMOB3,ON,"20,96","-2,06%","6,67%","11,79%","1,70"
"18,81%","8,21%","2,20","1,09","0,28","3,49","24,26","12,00","0,51","1,75","0,66","31,50%","11,43%","23,11%","21,43","R$ 21,43","8,08","R$ 19,14","7,72%","-2,04","8,20","22,06","10,91","0,55","1,29","2,75","32,67","0,45","2,52","2,86","3,95%","8,75%","7,04%","R$ 0,7488",DTEX3,ON,"21,43","128,95%","1,56%","11,96%","7,50"
-%,"15,30%","2,89","2,46","6,17","2,80","6,17","5,27","1,15","1,76","1,27","19,76%","9,24%","10,83%","13,39","R$ 11,20","8,48","R$ 9,53","3,59%","-1,05","1,20","3,28","2,80","0,95","0,35","0,00","8,45","0,05","0,30","7,01","4,12%","82,98%","13,90%","R$ 0,3006",BEEF3,ON,"10,72","24,22%","-4,29%","12,25%","1,53"
-%,"-46,07%","-4,04","-4,60",-,-,"-4,33","-4,93","0,03","0,52","-40,91","-86,74%","-295,31%","-259,07%","27,51","R$ 15,02","8,00","R$ 8,00","-321,27%","-0,05","-0,09","-0,34","-0,39","1,25","0,03","0,00","-0,32","-0,25","1,01","-0,13","-9,88%","-40,12%","-86,38%","R$ 0,0000",BDLL3,ON,"12,90","-46,23%","-2,86%","59,06%","-101,97"
"20,00%","18,22%","1,68","2,26","0,89","8,05","6,01","8,10","0,25","2,80","2,19","70,57%","89,71%","66,53%","13,30","R$ 13,30","8,03","R$ 12,57","63,54%","-1,17","9,05","4,30","5,80","0,57","0,97","0,05","6,07","0,43","3,86","2,28","16,04%","37,55%","22,30%","R$ 1,0703",TAEE3,ON,"13,30","65,22%","1,53%","5,81%","5,83"
"26,05%","4,99%","-15,54","-5,73","-1,88","5,56","-1,49","-0,55","0,69","2,26","5,51","13,59%","5,09%","13,82%","45,92","R$ 34,92","29,62","R$ 31,96","12,22%","-1,55","1,30","14,05","5,18","0,71","0,49","0,06","5,85","0,29","0,72","1,70","8,42%","28,97%","6,95%","R$ 1,7950",SULA11,,"32,28","-20,73%","1,00%","-3,32%","19,03"
-%,"1,83%","61,81",-,-,-,"83,62",-,"0,44","0,21","-4,20","27,54%","4,51%",-%,"235,00","R$ 44,26","10,00","R$ 38,11","-21,43%","-1,35","-0,60","43,10",-,"2,62","0,85","0,05","-9,07","-1,62","1,94","-0,52","-9,35%","-5,78%","-4,84%","R$ 0,0000",TXRX3,ON,"38,11","281,10%","-11,17%","-8,37%","-72,72"
"26,05%","4,99%","-15,54","-5,73","-1,88","4,88","-1,49","-0,55","0,69","2,26","1,84","13,59%","5,09%","13,82%","20,12","R$ 13,30","11,07","R$ 12,20","12,22%","-1,76","1,48","15,99","5,89","0,71","0,56","0,07","6,67","0,29","0,81","1,93","8,42%","28,97%","6,95%","R$ 0,5983",SULA3,ON,"12,25","-35,93%","0,41%","-5,04%","6,34"
-%,"16,57%","1,55","1,43","15,97",-,"6,52","6,00","1,21","1,62","2,74","42,60%","24,49%","26,60%","27,10","R$ 23,80","3,38","R$ 22,66","14,87%","-4,14","6,17","5,05","4,65","0,97","1,50","0,02","8,32","0,03","1,24","51,88","18,05%","623,63%","45,22%","R$ 0,0000",TASA3,ON,"22,81","542,54%","-2,73%","-0,13%","0,44"
"1,09%","-5,19%","1,85","1,56","1,75","6,15","4,71","3,97","0,20","0,94","0,43","94,37%","86,92%","103,11%","3,56","R$ 3,49","2,74","R$ 3,10","42,17%","-0,92","-43,16","3,98","3,36","0,82","0,69","0,04","8,21","0,18","3,46","3,78","8,45%","46,03%","19,40%","R$ 0,2146",TIET3,ON,"3,49","10,09%","0,87%","11,86%","0,92"
"17,25%","14,03%","3,02","1,56","1,36","1,75","10,24","5,28","0,35","2,01","2,44","34,82%","35,23%","68,30%","35,50","R$ 31,60","16,90","R$ 29,71","20,07%","-1,27","6,25","7,23","3,73","0,72","0,90","0,26","12,69","0,28","2,55","3,27","7,12%","25,77%","12,82%","R$ 0,5415",SMTO3,ON,"30,91","81,82%","-2,18%","4,04%","9,45"
-%,-%,"0,00",-,-,-,"-2.958,01",-,"0,00","0,00","-0,03",-%,-%,-%,-,"R$ 76,40",-,"R$ 50,90",-%,"-34.899,85","-2.588,38","-2.958,01",-,"13,42","34.713,49","63,96","-2.717,50","-12,42",-,"-2.795,73","-1.277,40%","-102,88%","94,51%","R$ 0,0000",SPRT3B,ON,"76,40",-%,"0,00%",-%,"-0,03"
"33,34%","35,12%","-0,53","-0,42","-0,23","1,02","8,99","7,11","0,86","1,54","3,89","34,50%","19,35%","24,47%","77,30","R$ 77,30","21,35","R$ 68,28","9,50%","-2,78","11,05","9,75","7,71","0,61","1,62","0,18","19,85","0,39","1,89","4,20","8,16%","21,14%","21,10%","R$ 0,7875",UNIP6,PNB,"77,30","218,11%","0,25%","10,59%","18,42"
-%,"1,83%","61,81",-,-,-,"83,62",-,"0,44","0,21","-4,20","27,54%","4,51%",-%,"21,00","R$ 9,87","3,94","R$ 9,49","-21,43%","-0,34","-0,15","10,73",-,"2,62","0,21","0,01","-2,26","-1,62","0,48","-0,13","-9,35%","-5,78%","-4,84%","R$ 0,0000",TXRX4,PN,"9,49","131,46%","-0,21%","-2,77%","-72,72"
-%,"11,33%","0,07","0,06",-,-,"0,85","0,78","0,82","0,45","-9,79","37,28%","32,26%","35,05%","218,50","R$ 205,00","101,00","R$ 205,00","-2,92%","-0,75","-1,27","1,90","1,75","1,03","0,50","0,16","-20,93","-0,03","0,61","-14,61","-2,41%","-69,78%","1.247,87%","R$ 0,0000",RSUL4,PN,"205,00","102,97%","1,99%","0,00%","-14,03"
-%,"7,32%","4,09","3,34","1,29",-,"7,85","6,41","0,42","0,92","-2,61","23,29%","20,14%","24,65%","43,09","R$ 43,09","10,00","R$ 41,98","-4,61%","-0,49","-10,27","3,76","3,07","0,73","0,32","0,28","-16,44","0,27","0,76","1,19","-1,95%","-7,24%","12,82%","R$ 0,0000",TESA3,ON,"42,90","288,59%","-0,05%","-0,12%","36,02"
-%,"4,14%","-2,26","-3,51",-,-,"-3,56","-5,54","1,28","0,62","-18,12","14,98%","-9,89%","-6,36%","14,00","R$ 5,44","1,97","R$ 5,16","-27,33%","-0,23","-0,29","-0,79","-1,23","4,45","0,10","0,01","-0,29","-3,45","0,08","-0,03","-34,99%","-10,13%","4,07%","R$ 0,0000",SNSY5,PNA,"5,20","160,00%","0,39%","0,78%","-178,74"
"17,84%","10,07%","1,77","1,43","0,40","4,29","5,86","4,76","0,36","1,21","0,66","59,97%","32,72%","40,30%","7,17","R$ 4,45","3,94","R$ 4,18","20,76%","-0,57","21,09","4,13","3,35","0,47","0,49","-0,84","6,51","0,53","1,35","0,93","7,55%","14,35%","11,34%","R$ 0,1839",SAPR3,ON,"4,29","-12,80%","2,63%","-3,60%","4,59"
-%,-%,"0,42",-,"-0,07",-,"-31,53",-,"0,10","6,74","-1,96","47,99%","-84,38%",-%,"49,00","R$ 42,00","20,80","R$ 37,12","-126,92%","-4,12","8,38","-31,95",-,"0,49","2,61","-0,03","-21,24","0,51","26,96","5,11","-12,29%","-24,07%","-11,55%","R$ 0,0000",RRRP3,ON,"41,60","99,04%","-0,95%","9,85%","8,14"
"21,10%","21,28%","3,62","2,65","1,08","0,53","30,64","22,37","0,50","1,30","1,38","28,12%","17,48%","23,94%","73,83","R$ 64,18","27,15","R$ 60,04","10,17%","-3,27","38,23","27,02","19,72","0,70","2,38","1,81","46,44","0,30","4,72","8,04","5,13%","17,32%","8,60%","R$ 0,3433",RENT3,ON,"64,18","89,94%","0,91%","6,90%","7,98"
-%,-%,"-17,67",-,"0,66",-,"-112,69",-,"0,39","1,78","-0,47","43,63%","-3,02%",-%,"35,30","R$ 28,59","20,73","R$ 26,89","-4,68%","-2,38","4,81","-95,02",-,"0,69","1,12","0,45","-61,33","0,31","2,87","3,55","-1,82%","-5,78%","-4,32%","R$ 0,0000",SBFG3,ON,"28,59","6,01%","3,96%","6,32%","8,06"
-%,"117,05%","-1,68","-0,66",-,-,"474,12","186,60","0,65","0,77","-0,02","19,77%","2,32%","5,90%","2,43","R$ 1,59","1,25","R$ 1,41","-4,79%","-4,49","-19,90","169,51","66,72","2,47","2,55","1,36","-82,15","-1,47","3,94","-1,73","-3,10%","-2,11%","-1,02%","R$ 0,0000",RCSL4,PN,"1,48","9,63%","-1,33%","-6,92%","-0,86"
-%,"117,05%","-1,68","-0,66",-,-,"474,12","186,60","0,65","0,77","-0,02","19,77%","2,32%","5,90%","13,44","R$ 9,46","1,71","R$ 7,94","-4,79%","-28,70","-127,18","1.083,52","426,45","2,47","16,28","8,68","-525,10","-1,47","25,15","-11,06","-3,10%","-2,11%","-1,02%","R$ 0,0000",RCSL3,ON,"9,46","354,81%","3,50%","19,14%","-0,86"
"184,81%","6,30%","1,46","1,00","0,31","1,25","11,26","7,68","0,57","2,78","0,36","31,60%","16,08%","23,58%","9,27","R$ 5,50","4,72","R$ 5,50","9,01%","-1,35","2,86","8,53","5,82","0,57","0,78","-0,07","15,22","0,43","1,37","1,80","5,11%","11,80%","10,79%","R$ 0,0689",RANI4,PN,"5,50","9,56%","0,00%","0,00%","3,06"
"184,81%","6,30%","1,46","1,00","0,31","1,73","11,26","7,68","0,57","2,78","0,36","31,60%","16,08%","23,58%","6,43","R$ 6,32","2,92","R$ 5,57","9,01%","-1,56","3,28","9,80","6,68","0,57","0,89","-0,08","17,49","0,43","1,58","2,06","5,11%","11,80%","10,79%","R$ 0,1096",RANI3,ON,"6,32","112,79%","2,43%","11,86%","3,06"
-%,-%,"5,02","3,31","0,59","0,29","89,90","59,31","0,31","5,81","0,22","18,30%","11,67%","17,69%","74,82","R$ 70,00","59,94","R$ 64,33","3,05%","-5,98","7,48","84,88","56,00","0,69","3,04","-6,99","324,45","0,31","9,91","9,93","0,94%","3,06%","4,25%","R$ 0,2062",RDOR3,ON,"70,00","12,31%","1,01%","8,81%","7,05"
-%,"-0,73%","-10,70","-3,01","-0,30","0,25","90,71","25,48","0,22","4,18","-0,02","23,77%","6,40%","22,80%","7,30","R$ 7,30","3,31","R$ 6,69","-1,48%","-2,02","6,40","101,42","28,49","0,50","1,43","2,32","-438,73","0,50","6,49","2,88","-0,33%","-0,66%","2,20%","R$ 0,0175",STBP3,ON,"7,00","62,04%","-3,58%","4,63%","2,43"
"23,64%","6,59%","2,84","2,11","0,91","1,15","12,17","9,02","0,52","1,48","0,43","21,85%","16,20%","21,87%","11,35","R$ 9,16","8,09","R$ 8,09","8,05%","-1,24","6,69","9,33","6,91","0,74","0,79","0,67","18,76","0,26","1,51","2,98","4,20%","15,88%","9,80%","R$ 0,0930",REDE3,ON,"8,09","-15,29%","0,00%","-11,68%","2,72"
"-29,08%","1,60%","3,26",-,"0,38",-,"15,20",-,"0,80","1,24","0,40","14,30%","6,27%",-%,"16,90","R$ 16,23","4,83","R$ 13,48","3,39%","-2,10","12,39","22,16",-,"0,57","1,11","-1,29","41,02","0,43","1,39","2,58","2,71%","6,28%","6,34%","R$ 0,0000",PTNT3,ON,"16,23","90,94%","2,46%","11,47%","6,30"
-%,"11,59%","1,13","0,97","0,43","1,66","5,74","4,91","0,60","1,75","1,92","25,18%","18,92%","22,11%","16,30","R$ 14,66","7,09","R$ 13,16","12,39%","-1,37","2,23","4,98","4,26","0,70","0,56","0,05","7,60","0,30","0,94","1,89","7,40%","24,95%","9,99%","R$ 0,2419",RAPT4,PN,"14,60","84,11%","-0,41%","10,94%","7,70"
"32,61%","49,72%","1,81","0,95","0,54",-,"20,09","10,55","0,28","0,86","2,58","32,42%","49,51%","94,32%","101,80","R$ 101,80","18,55","R$ 90,62","23,78%","-3,48","-55,97","18,29","9,60","0,54","2,54","-1,32","38,08","0,46","9,05","5,47","6,67%","14,37%","16,03%","R$ 0,0000",PRIO3,ON,"98,14","376,41%","0,55%","7,87%","17,94"
"6,21%","15,13%","0,30","0,28","0,13",-,"0,30","0,28","1,13","1,17","11,69","30,20%","16,19%","17,33%",-,R$ -,-,R$ -,"7,79%","0,00","0,00","0,00","0,00","0,56","0,00","0,00","0,00","0,44","0,00","0,00","8,78%","20,00%","18,00%","R$ 0,0000",QUSW3,ON,"0,00",-%,"0,00%",-%,"58,44"
-%,-%,"0,23",-,"0,08",-,"15,90",-,"1,38","1,16","0,34","10,03%","6,46%",-%,"16,00","R$ 14,51","13,79","R$ 13,87","2,50%","-3,41","16,81","15,67",-,"0,75","1,40","-0,70","40,49","0,25","1,01","5,60","3,45%","13,83%","19,09%","R$ 0,0000",POWE3,ON,"13,87","-11,37%","-1,98%","-3,34%","2,48"
"19,48%","4,66%","3,47","2,26","0,96","1,40","17,89","11,64","0,65","1,24","0,83","34,57%","8,68%","13,34%","10,78","R$ 10,78","2,25","R$ 8,88","9,63%","-1,49","9,46","14,41","9,38","0,79","0,82","0,01","12,99","0,21","1,25","3,99","6,30%","30,73%","6,37%","R$ 0,1514",PTBL3,ON,"10,78","354,85%","4,46%","21,12%","2,70"
"0,36%","5,56%","5,72","3,27","0,38","0,75","20,13","11,50","0,61","1,85","0,11","16,59%","4,80%","8,41%","3,44","R$ 2,86","2,28","R$ 2,67","2,89%","-0,94","1,74","14,66","8,37","0,56","0,43","-0,50","24,34","0,44","0,70","0,97","1,77%","3,98%","2,81%","R$ 0,0200",POMO4,PN,"2,67","-14,97%","-1,48%","-3,61%","2,75"
-%,-%,"9,99","-2,76","-0,21",-,"-61,63","17,00","0,72","3,08","-0,06","11,21%","-1,91%","6,93%","11,89","R$ 8,54","6,58","R$ 7,95","-0,88%","-2,52","2,40","-71,62","19,75","0,33","0,99","2,39","-155,31","0,67","1,37","1,47","-0,63%","-0,95%","-4,38%","R$ 0,0000",PRNR3,ON,"8,54","6,09%","3,26%","7,42%","5,81"
"4,40%","7,26%","2,36","1,03","0,21","0,78","33,74","14,81","1,28","2,03","0,37","29,22%","3,27%","7,45%","26,67","R$ 19,54","16,72","R$ 18,10","1,99%","-3,55","4,15","31,46","13,81","0,54","1,32","-1,92","51,63","0,46","1,03","2,87","2,56%","5,56%","5,37%","R$ 0,1496",PNVL4,PN,"19,14","-3,24%","-0,57%","5,75%","6,67"
-%,"-4,39%","-11,84","-36,31",-,-,"-14,71","-45,10","1,06","0,47","-19,85","2,99%","-5,35%","-1,75%","15,36","R$ 15,18","8,16","R$ 9,05","-20,07%","-0,30","-0,31","-2,87","-8,79","1,05","0,16","0,00","-0,76","-0,05","0,15","-3,32","-21,37%","-433,86%","-8,87%","R$ 0,0000",PMAM3,ON,"15,18","50,30%","4,69%","66,27%","-4,58"
-%,-%,-,-,-,-,"-191,28",-,"0,00",-,"-0,05",-%,-%,-%,"21,30","R$ 10,85","8,97","R$ 9,71",-%,"-51,59",-,"-191,28",-,"0,99","51,59","1,92","-191,28","0,01",-,"5.623,70","-26,97%","-2.940,00%",-%,"R$ 0,0000",PPLA11,,"9,99","-32,77%","2,88%","-7,93%","0,00"
-%,"-35,22%","-4,13","-4,17",-,-,"-4,29","-4,33","0,12","0,38","-56,36","34,30%","-132,93%","-131,57%","8,20","R$ 5,39","3,25","R$ 5,10","-218,36%","-0,12","-0,02","-0,16","-0,16","4,11","0,03","0,00","-0,10","-3,11","0,21","-0,01","-26,27%","-8,44%","9,12%","R$ 0,0000",PDGR3,ON,"5,39","43,73%","3,26%","2,67%","-667,48"
"4,40%","7,26%","2,36","1,03","0,21","0,71","33,74","14,81","1,28","2,03","0,37","29,22%","3,27%","7,45%","32,05","R$ 19,46","17,73","R$ 18,90","1,99%","-3,54","4,14","31,38","13,77","0,54","1,32","-1,92","51,50","0,46","1,03","2,86","2,56%","5,56%","5,37%","R$ 0,1360",PNVL3,ON,"19,09","-24,19%","0,42%","-0,57%","6,67"
-%,"4,73%",-,-,-,-,"-1,36","-1,28","0,05","0,65","-0,43","21,25%","-18,97%","-20,05%","3,25","R$ 2,45","2,01","R$ 2,21","-9,65%","-0,03","-0,20","-2,77","-2,62","0,94","0,03","0,12","-5,45","0,06","0,53","0,44","-0,46%","-8,03%",-%,"R$ 0,0000",PINE4,PN,"2,34","-24,27%","-4,49%","2,18%","5,35"
-%,"-3,29%","6,62","3,04","1,06","3,43","12,60","5,79","0,28","1,04","0,54","45,56%","18,24%","39,67%","30,10","R$ 23,55","15,42","R$ 22,87","2,61%","-0,35","49,58","6,03","2,77","0,68","0,30","-0,51","42,10","0,32","1,10","0,96","0,72%","2,28%","6,17%","R$ 0,7879",PETR4,PN,"22,94","48,77%","-0,65%","-0,74%","23,85"
